word	valence_mean	valence_sd	arousal_mean	arousal_sd	concreteness_mean	concreteness_sd	frequency	number_of_letters	number_of_syllables
Fest	6.380952	2.019490	4.343750	2.344996	4.206349	2.528283	10	4	1
Fete	6.435484	2.139565	5.079365	2.281069	4.523810	2.855991	14	4	2
Fetzen	4.234375	1.715866	4.812500	2.231627	3.682540	2.441743	13	6	2
Fick	4.873016	2.517629	7.234375	2.209232	4.419355	2.843159	17	4	1
Fieber	3.250000	2.239615	5.203125	2.276029	5.661290	2.553965	12	6	2
Figur	5.546875	1.194295	4.158730	2.528587	3.825397	2.426598	10	5	2
Film	5.870968	1.760066	4.796875	2.520895	2.435484	2.061521	8	4	1
Filter	5.078125	1.088244	2.262295	2.072853	2.206349	1.393056	13	6	2
Finger	5.111111	1.137500	3.625000	2.134375	1.412698	0.977735	10	6	2
Fisch	5.406250	1.630257	2.806452	1.809254	1.444444	0.735676	11	5	1
Fixer	3.111111	2.450221	6.344262	2.594130	4.555556	2.513048	16	5	2
Flagge	5.031250	1.234025	2.806452	2.055291	1.725807	1.580303	12	6	2
Flasche	5.046875	1.361951	2.412698	1.671728	1.396825	0.942538	11	7	2
Fleiss	6.460318	1.941278	4.238095	2.204938	7.725807	1.651322	13	5	1
Flinte	4.062500	1.602330	4.953125	2.663270	2.158730	1.868295	14	6	2
Flirt	6.596774	2.336171	6.412698	2.068465	6.174603	2.399864	14	5	1
Fluch	3.253968	2.257377	5.682540	2.428496	7.523810	1.821530	12	5	1
Fluss	5.781250	1.350705	3.269841	2.259077	1.709677	1.136389	12	5	1
Fokus	5.312500	1.125110	2.904762	1.989604	6.483871	2.726566	13	5	2
Folie	5.078125	0.741185	2.150000	1.592621	2.114754	1.654271	13	5	2
Folter	2.761905	2.751623	6.790323	1.992915	6.190476	2.551768	12	6	2
Fˆn	5.079365	0.725160	2.296875	1.831642	1.580645	1.222043	16	3	1
Format	5.047619	0.580005	2.064516	1.915176	5.193548	2.862068	12	6	2
Formel	5.156250	0.979452	2.645161	2.081116	5.822581	3.027330	11	6	2
Fotze	3.187500	2.653988	6.843750	2.191026	2.936508	2.235152	18	5	2
Fracht	4.937500	0.888641	2.606557	2.035343	3.238095	2.414434	13	6	1
